,fuzz_locations,fuzzed
12183,valintine&yorkmills,valentine&yorkmills
12184,ellesmereroad.&neilson,ellesmere
12185,mcowan&sheppard,mccowan&sheppardeast
12186,nashdenerd.&tapscott,tapscott
12187,mcnicoolav&picloacrt,mcnicoll&picolacrt
12188,markhamrd.&passmore,markham&passmore
12189,dundas&hwy427ramp,dundaswest
12190,avenuerd&lyttonblvd,davean
12191,mcdonelle&queen,macdonell&queenwestnorth
12192,finchaveeast&mccowan,fincheast&mccowan
12193,chimneystack&ianmcdonald,ianmacdonaldblvd
12194,chimneystackrd&ianmcdonald,ianmacdonaldblvd
12195,eglinto&redpath&mtplesant,eglintoneast&mtpleasant
12196,middlfield&steeleseast,eeleseast
12197,`arrow&finch,arrow
12198,mccowan&pittsfield,mccowan&pitfield
12199,bayview&eglintonavew,bayview
12200,bay&edward,warden
12201,eglintonavew&rumseyroad,eglintoneast
12202,bayview&steele's,bayview
12203,kennedy&steele's,kennedy
12204,47b&cfromstclair$yorkdaleroundtrip,oakdale
12205,queensquay&sheerbourne,sherbourne
12206,haroldav&mcnicollav,mcnicoll
12207,overleablvd&thorncliffeprk,overleablvd&thorncliffepark
12208,dufferin&halam,dufferin&hallam
12209,steeles&villagegae,eeleswest&villageg&e
12210,bloor&duffmall,mabelle
12211,leavenworthcres.&westmall,leavenworthcres&thewestmall
12212,humbercollege&hwy#27,humbercollegeblvd&humberlinesouth
12213,huntingwood&victoriaparlk,huntingwood&victoriapark
12214,deepdenedr.&kingstonrd.,kingston
12215,burnamthrope&kipling,burnhamthorpe&kipling
12216,croslands&reddins,crosland&reddins
12217,427&queensplate,rexdaleblvd&queen'spl&e
12218,majormack&warden$angusglenn,warden
12219,oldweston&stclaire,weston
12220,elmhurstave&yongest,yonge
12221,lyttonave&yongest,yonge
12222,grosevar&yonge,yonge
12223,dupont.&symington,dupont&symington
12224,brandonave&dufferin,brandon&dufferin
12225,bloor&dundasstw,bloorwest&dundaswest
12226,lawrenceavee&midlandave,midland
12227,charokeerd.&finchave.,cherokeeblvd&fincheast
12228,brimley&mcniccol,brimley&mcnicoll
12229,donmillsstation&stc,donmills
12230,bloorave&islingtonave,islington
12231,eglintonwest&marleeave,eglintonwest&marlee
12232,lavander&oldwston,lavender&oldweston
12233,hildaave&steeles,keele
12234,clairroad&jane,jane
12235,cordova&dudnadstw,cordova
12236,college&ossingotn,college&ossington
12237,foxridge&kennedybetweeneglinton,kennedy
12238,shaunessay&sheppardeast,sheppardeast
12239,donmillsstation&warden,donmills
12240,lumsden&mainstation,lumsden&main
12241,oldfinch&&vellyctr.,oldfinch&valleycentrewest
12242,attwell&mclachlandr,attwell&mclachlan
12243,eglintonwestave&oakwoodave,eglintonwest
12244,carlton&sherborne,carlton&sherbourne
12245,micnicoll&midland,mcnicoll&midland
12246,airport&morningstar,airport
12247,eglintonave.west&olympia,eglintonwest&oldpark
12248,47b&cbusqueen$yorkdaleroundtrip,oakdale
12249,dundaswest&roncevalles,dundaswest&roncesvalles
12250,redale&m&grove,bridlegrovenorth&mccowan
12251,fenwoodhts&kingstonroad,kingston
12252,mapleleafdrive&veerlanderdrive,mapleleaf
12253,finch&senca,finchwest&senlac
12254,bayview&steelesav,bayview
12255,banffrd&eglinton,banff&eglintoneast
12256,eglintonavewest&hickorytree,eglintoneast
12257,cardellave&weston,cardell&weston
12258,cliffst.&humber,cliff&humberblvd
12259,"morningsideave,southofgardentree&railway",morningside
12260,kingstonrd&mccowanrd.,mccowan
12261,brimley&klawerence,brimley
12262,47b&cbusstclair$yorkdaleroundtrip,oakdale
12263,bathurstst&eglintonwestave,eglintonwest
12264,silverdaledr.&yorkmill,silverdalecres&yorkmills
12265,hyw27.&queensplatedr.,highway&queen'spl&e-woodbinecentre
12266,lawrance&manesrd,aines
12267,ellesmere&markaham,ellesmere&markham
12268,putnam&steeleseast,eeleseast
12269,eglnton&forman,eglintoneast&forman
12270,janest&lambtonave,jane
12271,marylincres&stclair,chaplincres&colin
12272,birchmount&danforthrd.,birchmount&danforth
12273,colins&ellesmere,conlins&ellesmere
12274,nessrd&yorkmills,yorkmills
12275,morningside&staines.,morningside
12276,bathurst&sultana,ameer&sultana
12277,615eastmall&eastmall,theeastmall
12278,finchaveeast&pharmacy,fincheast&pharmacy
12279,eglintonav&redpath,eglintoneast&redp&h
12280,danforthave.&danforthroad.,danforth
12281,blackbirdgt&finch,norfinch
12282,clarke&dufferin,dufferin
12283,brimely&steeles,brimley
12284,kipling&wingrove,kipling
12285,parliament&wellesy,parliament&wellesleyeastsouth
12286,berryrd.&princeedward,berry&princeedwardsouth
12287,dundaswestave&ossingtonave,dundaswest
12288,kennedy&mikemyers,kennedy
12289,cosburn&toddmordenlane,cosburn&todmordenlane
12290,eglintonav&redpathav,eglintoneast
12291,lakeshore&norriscres.,lakeshoreblvdwest&norriscres
12292,atlantic&e.liberty,atlantic&liberty
12293,atlantic&kingst,atlantic&kingwest
12294,finchavewest&tangiersrd.,finchwest&tangiers
12295,ridgerd.&wilsonavewest,wilson
12296,ridgeroad&wilsonave.west,wilson
12297,finchave.&westonrd.,weston
12298,bloor&churchst,church
12299,finchave.&finchdenesq..,finchdenesq
12300,glenlakeave&highparkblvd,glenlake&highpark
12301,finchave.&finchdenesq.,finchdenesq
12302,donmillsrd&sheppardave,donmills
12303,kenwood&vaughn,kenwood&vaughan
12304,finchdean&tapscott,tapscott
12305,eglinton&larid,eglintoneast&laird
12306,finch&finch,finch&ion
12307,bloorst&markland,bloorwest&markland
12308,mccowanrd.&sheppard,mccowan
12309,grosvenor&queen'spkcr,bay&grosvenor
12310,donmillsrd&mallardrd,donmills
12311,barbergreenrd&donmillsrd,donmills
12312,barbergreebrd&donmillsrd,donmills
12313,brimley&st-clair,brimley
12314,sewell's&tapscott,tapscott
12315,davenportrd.&walmerrd.,davenport&walmer
12316,finch&scottsfield,fincheast&scottfield
12317,donsmills&mcnicol,donmills&mcnicoll
12318,beaumondeheights&islington,beaumondeheightsnorth&islington
12319,lawrencew&lorindale,lawrencewest&lorindale
12320,greenbrookdr&keele,greenbrook&keele
12321,morningside$kennedystation&nightstar,kennedy
12322,glendarlingrd&royalyork,glendarling&royalyork
12323,ellesmererd&markham,ellesmere&markham
12324,glenwatford&sheppardav,sheppardeast
12325,midland&sheppardav,midland
12326,industryst&toddbaylis,industry
12327,airport&bressler,airport&bresler
12328,morningside&teft,morningside&tefft
12329,dawesrd&ferrisrd,dawes&ferris
12330,neilson&sewell's,neilson&sewells
12331,garage&milrdloop,mcrae&millwood
12332,eastdaleave.&goodwoodpk.cr.,eastdale&goodwoodparkcres
12333,marilyncres.&st.clairave.,clair&jane
12334,lawson&meadowvalerd,lawson&meadowvale
12335,kelfeild&martingrove,martingrove
12336,eglintonwestave&vestadr,eglintonwest
12337,highlandcr&kingstonrd,kingston
12338,o'connor&ralston,o'connor
12339,lawrence&westhillrd,lawrenceeast&westhill
12340,mccowanrd&steelesave,mccowan
12341,404&mcnichol,mcnicoll
12342,finchave&pageave,fincheast&page
12343,lakeshoreblvdw&royalyorkrd,lakeshoreblvdwest&royalyork
12344,eyorkcentre&overlea,eastyorktowncentre&overleablvd
12345,dorris&sheppardshortend,doris&sheppardeast
12346,leslie&sheppardstation,leslie
12347,finch&gasperd,fincheast&gaspe
12348,squiresave&st.clair,clair&ion
12349,bathurst&elm,b&hurst&ellerslienorth
12350,passmore&steels,passmore
12351,mooreav&welandav,moorepark
12352,arkonadr&wardenave,warden
12353,roger's&scott,rogers&scott
12354,janest&steelesavew,jane
12355,parmacrt&victoriapark,victoriapark
12356,conferationparkway&dufferin,dufferin
12357,lawrence&manserd,lawrenceeast&mansewest
12358,bridgestock&kennedy,brigstock&kennedy
12359,erindale&northboundbroadview,broadview
12360,47b&cbuses$yorkdalemall,oakdale
12361,turnberry&yonge,yonge
12362,finchave.west&woodbinedowns,finchwest&woodbinedownsblvd
12363,barmac&ormontdr.,ormont
12364,harbour&yonge,yonge
12365,oldfinch&valleycenterdr.,oldfinch&valleycentrewest
12366,tournment&upperhighland,tournament&upperhighlandcres
12367,queensway&stephendrive,thequeensway
12368,jones&queenste,jones&queeneast
12369,queenste&wineva,queeneast&wineva
12370,flloyd&pape,floyd&pape
12371,lawrence&marlham,lawrenceeast&markham
12372,finchavee&leslie,leslie
12373,sheppardavee&yorklandroad,sheppardeast
12374,finchavee.&sandhurstcircle,fincheast&sandhurstcir
12375,bramptonrd&thewestway,brampton&thewestway
12376,shadlock&steeleseast,eeleseast
12377,dufferin&shanleyst,dufferin&shanly
12378,croatiast&dufferin,dufferin
12379,rosehill&yongest,rosehill&yonge
12380,valleywoodsrd.&yorkmillsrd.,valleywoods
12381,donmillsrd&freshmeadowdr,donmills&freshmeadow
12382,ellesmee&militarytrail,ellesmere&militarytrail
12383,eglintonwestave&westonrd,weston
12384,bayview&finchaveeast,bayview&fincheast
12385,markham&paasmore,markham&passmore
12386,avenuerd&dupont.,dupont
12387,hollydene&pharmacy,pharmacy
12388,finchaveeast&middlefieldave,middlefield
12389,fairmeadow&uppercanadadr,fairmeadow&uppercanada
12390,eglinton&matheson,eglintoneast&mason
12391,bloor&riverside,railside
12392,carrier&humbercollegeblvd.,carrier&humbercollegeblvd
12393,caladonia&glencarairn,caledonia&glencairn
12394,bellamy&pandora,bellamynorth&pandoracir
12395,eglinton&municipaldrive,eglinton&ion
12396,duff&hopest,dufferin&hope
12397,caledonia&innesav.,caledonia&innes
12398,earlscourt&oakwood,earlsdale&oakwood
12399,birchmountrd&finchaveeast,birchmount
12400,ossingtonave&queenst,ossington&queenwest
12401,lansdowneave&rideau,lansdowne&rideau
12402,st.clairwest&westonrd,weston
12403,pharmacy&yorkmillsrd,pharmacy
12404,oakwoodave.&st.clairavew.,clair&jane
12405,faimar&princeedward,fairmar&princeedwardsouth
12406,oldwestonrd.&stclair,weston
12407,finchav.&westonrd,weston
12408,horner&magnificent,horner
12409,bloor&garage-markland,parklawn
12410,driftwood$grandravinedrive&jane,jane
12411,fensidedr.&versenddr.,leslie
12412,birchcroff&rathburn,hburn&r
12413,hutchcroftav&mcnicollav,hutchcroft&mcnicoll
12414,portunion&wintergarden,portunion&wintergardenstrail
12415,hwy27&queenspalte,highway&queen'spl&e-woodbinecentre
12416,noirthqueen&queensway,northqueen&thequeensway
12417,overlea&thorncliffee,overleablvd&thorncliffepark
12418,overlea&thorncliffee.,overleablvd&thorncliffepark
12419,birell&littles,birrell&littles
12420,steeles&waggonerswelllane,eeleseast&waggonerswellslane
12421,lesle&yorkmills,leslie&yorkmills
12422,birminghamave&islingtonave,islington
12423,queenst.&shaw,queenwest&shaw
12424,duff&tycos,tycos
12425,brookbanks&parkwoodsvillagedr,brookbanks&parkwoodsvillage
12426,driftwooddrive&jane,jane
12427,brimley&hungtingwood,brimley&huntingwood
12428,hwy#7&mccowanrd.,mccowan
12429,bond&donmillsstation,bond&donmills
12430,at3600&finchave.,finchwest
12431,buroakave.&mccowanrd.,mccowan
12432,loop-martingrove&steelesw,martingrove
12433,birchmountrd.&finch,birchmount
12434,bayviewav&yorkmillsrd,bayview
12435,finchave.west&signetroad,finchwest&signetwest
12436,overleablvd.&thorncliffpark,overleablvd&thorncliffepark
12437,overleablvd.&thorncliffpk.,overleablvd&thorncliffepark
12438,cosumersrd&victoriapark,consumers&victoriapark
12439,dufferin&glenshield,dufferin
12440,avenuerd&elmwoodblvd,davean
12441,cottonave.&st.clairave,clair&jane
12442,waterbury&westway,skyway
12443,duffeirn&dupont,dufferin&dupont
12444,meadowvale&sheppardave,meadowvale&sheppardeast
12445,industry&rayave.,industry
12446,falsaff&jane,falstaff&jane
12447,oldweston&st.clair$avonloop,weston
12448,keele&rogers$blackcreek,keele&rogers
12449,briandr&margaret1,brian&margaret
12450,milnerw&oexecutivecrt,milner
12451,montressordr&uppercanada.,uppercanada
12452,mccowanrd.&steelsloop,mccowan
12453,janest.&sheppard,jane
12454,keelest.&wilson,keeleeast&wilson
12455,eglintonavewest&emmettave,emmett
12456,waterloo&wilsonheights,wilson
12457,finchav&mccowan,mccowan
12458,eglintonavewest&northcliffblvd,eglintonwest&northcliffeblvd
12459,islingtonave&lakeshoreblvdw,islington
12460,leslie&yorkmilss,leslie&yorkmills
12461,finch&weston.,weston
12462,bellevue&westonroad,weston
12463,fentonrd&steeles,keele
12464,morningsideave.&stainsrd.,morningside
12465,lawrenceavee&scarboroughgolfclubroad,lawrenceeast&scarboroughgolfclub
12466,lawrenceavewest&pine,lawrencewest&pine
12467,brownsline&dover,brown'sline&horner
12468,stop&v.pbusbay,weston
12469,militarytr&morningside,militarytrail&morningside
12470,starview&wilson,wilson
12471,mcnichol&pharmacy,mcnicoll&pharmacy
12472,josephduggan&lakeshoreblvde,lakeshoreblvdwest
12473,neilson&sheppard.,neilson&sheppardeast
12474,barmac&nsteeles,keele
12475,eglinton&warren,ellington&warden
12476,lintonave&victoriapark,victoriapark
12477,cherryst.&villiersst,cherry&villiers
12478,newtoonbrookeplaza&yonge,yonge
12479,dufferin&gerryfitgerald,dufferin&gerryfitzgerald
12480,eglintonave.west&weston,eglintonwest&weston
12481,o'connordr&papeave,o'connor
12482,inverness&islington,islington
12483,steelesave&yonge,yonge
12484,rolphrd.&sutherlanddr.,rolph&sutherland
12485,martingroveave&steelesloop,martingrove
12486,larence&starspry,larose
12487,oakwod&rogers,oakwood&rogers
12488,ellesmererd.&ortonpark,ellesmere&ortonpark
12489,bothwaysbetweenmarkham&morningside,markham
12490,kingston&lawerence,kingston
12491,kingston&st.clair,kingston
12492,driftwoodave.&janest.,jane
12493,eglintonavewest&oakwoodave,eglintonwest&oakwood
12494,arncliffecr&victoriapark,victoriapark
12495,sheppardave.&tuscangate,sheppardwest&tuscang&e
12496,ellesmererd&morningsiderd,ellesmere&morningside
12497,danfortth&victoriapark,danforth&victoriapark
12498,castlemoreave&mccowanrd,mccowan
12499,atwell&kipling,kipling
12500,cherryst&commissonersst,commissioners
12501,morningsideave.&morningview,morningside
12502,brentcliff&vanderhoof,brentcliffe&vanderhoof
12503,emmettave&hospitalroadway,emmett
12504,leslie&sheppard.,leslie
12505,lawrence&pinr,lawrencewest&pine
12506,kingstonrd&stclairave,kingston
12507,northyorkblvd.&young,northyorkblvd&yonge
12508,8thline&lakeshore,brown'sline&lakeshoreblvdwestnorth
12509,kiplingstation$steeles&martingrove.,martingrove
12510,downsviewstation.majormack&duff,downsviewnorth&jane
12511,chaplin&st.clairwest$roselawn,clairwest
12512,coxwellstation$pharmacycraighton&wardenstation,pharmacy
12513,ellesmere&principle,ellesmere&principal
12514,downsviewstation.-drummond&keele,keele
12515,donmills&kennedy,kennedy
12516,papestation$overlea&thorncliffe,thorncliffepark
12517,commissioners&papestation$cherry,commissioners
12518,kennedy&victoriaparkstation$barkdene,kennedy
12519,dolphinedr&pharmacyave,pharmacy
12520,majormckenzie&victoriapark,victoriapark
12521,finch&highway404,finchwest&highway
12522,hasssard&oconner,o'connor
12523,deeavenue&weston,weston
12524,delabo&sentinel,derrydown&sentinel
12525,estatedr&progress,progress
12526,ebbetweenkennedy&ellesmereloop,kennedy
12527,mooreparkmadawaska&yongest,yonge
12528,bluffwooddr&steelesav,bluffwood&eeleseast
12529,yorkblvd&yorkuniversitybusway,skyway
12530,danforth&vivtoriapark,danforth&victoriapark
12531,davenport&mtdennisgaragepodbeford,dennis
12532,donlea&egliniton,donmillseast&eglintoneast
12533,donlea&eglinton,donmillseast&eglintoneast
12534,jewell&steeles,keele
12535,davenport&oldwestonroad,davenport&oldweston
12536,burnhamthorpe&wesmall,burnhamthorpe&thewestmall
12537,finch.&morningside,morningside
12538,danforthave.&woodbine,danforth
12539,cranberry&nighstar,cranberry&nightstar
12540,kingstonroad&mainstreet,kingston
12541,christe&stclair,christie&clairwestsouth
12542,rayav.&weston,weston
12543,inglewood&stclair,clair&ion
12544,allen&lawernce,cedarbraemall&lawrenceeast
12545,neptune&rajast,neptune
12546,hucknall&sentinal,hucknall&sentinel
12547,kingstonrd&mainstreet,kingston
12548,mccowan&steelesav,mccowan
12549,buthurst&dupont,dupont
12550,mccowanloop.&steeles,mccowan
12551,bloor&sherborune,blooreast&sherbourne
12552,100&lesmills,lesmill
12553,dixon&skymark,dixon
12554,cumbermere&parkwoodsvilliage,combermere&parkwoodsvillage
12555,edinvalleydr.&eglinton,edenvalley&eglintonwest
12556,blacktorne&eglintonavewest,blackthorn&eglintonwest
12557,cresenttown&dawesrd,crescenttown&dawes
12558,jane&steeles84d,jane
12559,eglintonavee&hannaroad,eglintoneast
12560,eglintonavee&mt.pleasant,eglintoneast&mtpleasant
12561,janest.&steelesave.west,jane
12562,barrymorerd&lawrance,barrymore&lawrenceeast
12563,thebusroadway&thepondrd,broadway&yonge
12564,driftwood&yorkwood,iftwood&yorkwoodsg&e
12565,mountpleasant&stclair,mtpleasant&roslin
12566,finch&markhamroad,markham
12567,burmathorpe&kipling,kipling
12568,exploredr&skymarkave,markham
12569,bloor&shebourne,blooreast&sherbourne
12570,yorkblvd.&yorklanes,yorklandblvd&yorklandeast
12571,allenrd.&yorkdalerd,oakdale
12572,castleknock&eglintonavewest,castleknock&eglintonwest
12573,ave.rd&glenview,bayview
12574,hilda&steeles-stclairstation-queens'quay,eeleswest
12575,donmillsroad&havenbrook,donmills
12576,leedsst&ossingtonave,leeds&ossington
12577,lawrence&lorndale,lawrencewest&lorindale
12578,eglinton&oldparkrd.,eglintonwest&oldpark
12579,johndrurycrst.&sheppardavewest,johnury&sheppardwest
12580,jonesvillecr&victoriapark,victoriapark
12581,lawrencewest&olympiadr,lawrencewest&olympiaeast
12582,gibsondrive&warden,warden
12583,batterswood&huntingwood,huntingwood
12584,commons&yorklanes,aines
12585,bloorstreet&symingtonave,bloorwestnorth&symington
12586,bloorstwest&islingtonave,islington
12587,kingston&markhamroad,markham
12588,altontower&mccowan,mccowan
12589,betweenvicpark&pharmacy.,pharmacy
12590,bath&greenwin,eliseter&greenwinvillage
12591,gennelasq.&morningviewtr.,gennelasq&morningviewtrail
12592,donmills&freshmeadowdr,donmills&freshmeadow
12593,elmhurst&fordwich,elmhurst&fordwichcres
12594,jane&williamst,jane
12595,humbercollegebldg.&samsmithblvd,humbercollegeblvd
12596,coxwell&gerrardst,coxwell&gerrardeast
12597,golfdalerd&mt.pleasant,golfdale&mtpleasant
12598,avenueroad&ridely,davean
12599,eastrernav&marigold,eastern&pape
12600,&annet,annette&jane
12601,kingstonrd&poplarrd,kingston
12602,broadview&potteryrd,broadview
12603,mount.castlegate&steeles,mountcastleg&e&eeleseast
12604,coxwell&mortimerave,coxwell&mortimer-michaelgarronhospital
12605,davenport&mtdennisgaragepodbedford,dennis
12606,coombe&wilmington,combe&wilmington
12607,keele&st.regiscres,keele&regiscres
12608,"danforthave&warden,betweendanforthrd",danforth
12609,"ellesmere&midland,",ellesmere&midland
12610,mccowan.&nugget,mccowan&nugget
12611,rushtonrd&vaughan,arlington&vaughan
12612,rondale&varna,tundralane&varna
12613,garage&commerce&skymark,cummer
12614,danforthave&wardenbetweendanforthrd,danforth
12615,marilyncres&st.clairave,clair&jane
12616,allen&dufferin,dufferin
12617,dollyvartine&e#llesmere,ellesmere
12618,keelest&yorkblvd,keele
12619,royalyorkrd&thequeensway,royalyork&thequeensway
12620,queensplate&rexdal,queen'spl&e&rexdaleblvdnorth
12621,duncanmills&valleybook,duncanmill&valleybrook
12622,barbadosblvd&eglintonavee,eglintoneast
12623,eglintonavee&lesliest,leslie
12624,bloor&jarvis,blooreast&jarvis
12625,bamblettdr&warden,warden
12626,danforthav&wardenbetweendanforthrd.,danforth
12627,"danforthave&warden,betweendanforthroad",danforth
12628,chancerylane&guildwood,chancerylane&guildwoodpkwy
12629,bayview&steeels,bayview
12630,keele&lloydav.,keele
12631,donmillsrd&finch,donmills
12632,danforthave.&wardenbetweendanforthroad,danforth
12633,chartlandblvd.&finchave,chartlandblvdsouth&fincheast
12634,airpoerrd.&northwest,airport&northwest
12635,bloor&ossingtonave,bloorwest&ossington
12636,chinneystackrd&ianmacdonald,ianmacdonaldblvd
12637,humbercollege&windwooddr,humbercollegeblvd
12638,davenportrd&yongest,yonge
12639,broadviewave&hillsidedr.,broadview
12640,earnscliffe&oakwoodave,evans
12641,gunnsrd&weston,gunns&weston
12642,johnstreet&weston,weston
12643,keele&sentinal,keele
12644,arboretumblvd96a&humbercollege,humbercollegeblvd
12645,finch.&midland,midland
12646,kingston&qyeenst.loop,kingston
12647,gargae&humberwoodloop,humberwoodblvdloop&viewgreencres
12648,eglintonavew&spadinard.,eglintonwest&spadina
12649,adelaide&parliamentbetweenking,james&parliament
12650,donmillsrd.&fairviewmalldr,donmills
12651,majormackenziedrive&vellorewoods,majormackenzieeast
12652,harrison&yorkmillsrd,harrison&yorkmills
12653,bathurst&ridgehillsdr.,b&hurst&ridgehill
12654,jesmond&wilson,wilson
12655,eglinton&vitoriapk,eglintonsq&victoriapark
12656,kingstonrd&woodglenavenue,kingston
12657,coxwell&dundassteast,coxwell&dundaseast
12658,danforthr&wardenave,danforth
12659,airportrd&northwestdr.,airport
12660,ianmcddonald&yorkblvd.,ianmacdonaldblvd
12661,kingston&scarbouroughgolfclub,kingston&scarboroughgolfclubeast
12662,howardst.&parliament,howardsouth&parliament
12663,finch&humberwoodloop,finch&ion
12664,finch&islingtonlanes,islington
12665,dufferinst&eglintonavewest,dufferin
12666,brimleyrd&steeles,brimley
12667,danforth&waardenbetweendanforth,danforth
12668,"consumerrd,&victoriapark",consumers&victoriapark
12669,mtdennisgaragepodcaneff&strachan.,dennis
12670,danforth&wardenbetweendanforth,danforth
12671,brimley&brimwood,brimley
12672,juntion&keele,junction&keele
12673,carlingview&internationalq,carlingview
12674,kingstonrd&southwooddr,kingston&southwood
12675,kingstonrd&mcowanrd,kingston
12676,explorer&skemark,markham
12677,adelaidestw&spadinaave,aines
12678,eglintonavewest&marleeave,eglintonwest&marlee
12679,finchave.&leslie,leslie
12680,wash&weston,walsh&weston
12681,u&your,nue&yorkville
12682,emmettave&hospitalraodway,emmett
12683,clifton&stclair,eglintoneast&laird
12684,dollyvarden&ellesmer,dollyvardenblvd&ellesmere
12685,massiest.&sheppard,massiewest&sheppardeast
12686,queen&southwood,glenames&southwood
12687,finch&martingrove.,martingrove
12688,mccowanloop.&steelesaveeast,mccowan
12689,lawrenceavewest&pinest,lawrencewest&pine
12690,brimleyrd&eglintonavee,brimley
12691,finch.&markham,markham
12692,bathrust&bloor,b&hurst&bloorwest
12693,bathrust&lawrence,b&hurst&lawrencewest
12694,donmillsstation&wynford,donmills
12695,lairddrive&mcraedrive,laird&mcrae
12696,dundas&subwaycres.,dundaswest&subwaycres
12697,senatoro'connorss&victoriapark,victoriapark
12698,eglinton&wkwywscarlett,eglintonwest&scarlett
12699,markhamroad&pandora,markham
12700,ianmcdonald&yorklanes,aines
12701,gihon&steeles,ion&keele
12702,cardiff&eglinton,brentcliffe&eglintoneast
12703,lawrence.&pine,lawrencewest&pine
12704,allanrd&sheppard,allanfordwest&sheppardeast
12705,lawrenceave&mildenhallrd,lawrenceeast&mildenhall
12706,martingrove&tollendale,martingrove
12707,moorish&oldkingstonrd.,kingston
12708,eglinton&hannard.,eglintoneast&hannawest
12709,caledonia&joycepkwy,caledonia
12710,queenst&yongest,yonge
12711,avenue&oldorchardgr.,nue&oldorchardgrove
12712,sherwood&warden,warden
12713,amir&ranee,ameer&ranee
12714,castlebury&leslie,leslie
12715,easternave&pape,eastern&pape
12716,consiliumplace&mccowan,mccowan
12717,mimico&royalyorkroad,royalyork
12718,cowell&mortimer,coxwell&mortimer-michaelgarronhospital
12719,islington&monogramplace,islington&monogrampl
12720,consumers&yorkland,consumers
12721,selac&sheppard,senlac&sheppardwest
12722,ontariost.&onwelleselyst,ontario&wellesleyeast
12723,brimley&steelesave.,brimley
12724,huffieldtrail&sewells,hupfieldtrailwest&sewells
12725,broadview&petoria,broadview&pretoria
12726,bloor&shawstreet,bloorwest&shaw
12727,mccowan&steeles.,mccowan
12728,danforthave&danforthroad.,danforth
12729,innismore&victoriaparkstation,victoriapark
12730,merton.&mtpleasant,merton&mtpleasant
12731,commerce&skymar,cummer
12732,blackcreekdr&eglintonavewest,blackcreek&eglintonwest
12733,loop-steeles&martingrove,martingrove
12734,finchaveeast&lesliest,leslie
12735,broadview&oconner,broadview&o'connor
12736,&langstaff,falstaffsouth&keele
12737,bathurst&steeels,b&hurst&wells
12738,&dinard.,ardmore&spadina
12739,leslie&vanhorneave,leslie&vanhorne
12740,401&avenue,nugget
12741,eartlst&sherbourne,sherbourne
12742,finch&warden..,warden
12743,birchmountrd.&floradr.,birchmount
12744,dixon&st.philips,dixon
12745,finch.&sentinal,finchwest&sentinel
12746,finchavee&lesliest,leslie
12747,kingstonrd&woodlandpark,kingston
12748,clappinsonblvd&portunionrd,clappisonblvd&portunion
12749,parkwoodblvd&v.p,parklawn
12750,brianave&sheepard,brianwest&sheppardeast
12751,gargae&royalyork&queensway,royalyork
12752,gordenbaker&vicpark.,gordonbaker&victoriapark
12753,guildwoodgo&kennedy,kennedy
12754,granderavine&jane,grandravine&jane
12755,eddystone$grandravine&jane,jane
12756,bruceparkdr.&eglinton,brucepark&eglintoneast
12757,kennedy&trojan,kennedy&trojang&e
12758,ellesmere&v.p,ellesmere&victoriapark
12759,sherwood&yongest,sherwood&yonge
12760,hawkviewblvd.&westonroad,weston
12761,king&onwestonbetweenchurch,weston
12762,brilmley&kingstonroad,kingston
12763,jane&yorkwoodgate,jane
12764,celestine&lawrence,ion&lawrence
12765,gordenbaker&vicpark,gordonbaker&victoriapark
12766,betweenenglrmount&delmount,ormont
12767,draycottdr&victoriapark,victoriapark
12768,bishopav&yonge,yonge
12769,kingsley&princeedward,kingsleagardens&princeedwardsouth
12770,arrow&slpm,arrow
12771,sherway&westmall,sherwaynorth&thewestmall
12772,fstation$hwlp&milvan,milvan
12773,simcoe&richmond$adelaide&university,elm&universityeast
12774,gerrard&pape,gerrardeast&pape
12775,kendalave&spadina,kendal&spadina
12776,lawrenceaven&starspray,lawrenceeast
12777,dudleyav&finchav,dudley&fincheast
12778,oakwood&vaufghan,oakwood&vaughan
12779,kipling&thethequeensway,kipling&thequeensway
12780,glenpark&marlee,glencairn&marlee
12781,lawrence&yongestation,yonge
12782,senatoro'connar&victoriapark,victoriapark
12783,glenmanor&queen,glenmanor&queeneast
12784,finch&kennedy.,kennedy
12785,keelest&langstaff,keele
12786,garmondcourt&wynford,garamondcrt&wynford
12787,caledoniard&glencairn,caledonia&glencairn
12788,majormack&ridgcrest,majormackenzieeast&ridgecrest
12789,finchave.&markhamrd.,markham
12790,andvellyctr.&oldfinch,norfinch
12791,airportrd&jetlinerrd,airport
12792,brimmorton&scarboroughgolfclub,brimorton&scarboroughgolfclub
12793,markhamroad&tuxedocourt,markham
12794,eglintonavewest&westonrd,weston
12795,celest&kingston,kingston
12796,ellsmere&pharmacy,ellesmere&pharmacy
12797,lawrewnce&pine,lawrencewest&pine
12798,greenwoodave&queenst.east,greenwood&queeneast
12799,inperial&yongest,yonge
12800,bayst&kingst,baywest&kingwest
12801,barmacdr.&steelesave.,keele
12802,birchwood&yorkmillsrd.,birchwood&yorkmills
12803,adelaide.&sherbourne,sherbourne
12804,jane&trethway,jane
12805,grosbeak&seasonsdr.,oak&weston
12806,markhamroad&paintedpost,markham&paintedpost
12807,lawernce&yonge,yonge
12808,markhamrd&tuxedocrt,markham&tuxedocrt
12809,markhamrd.&select,markham&select
12810,ellesmere.&markham,ellesmere&markham
12811,founder&steele,keele
12812,fingrove&jane,jane
12813,eglintonavee&lairddr,eglintoneast&laird
12814,&wilso,keele&wilsonnorth
12815,donmillsrd&steelsave,donmills
